Manufacturer Code,100px Swatch Tiny,Bigger Swatch,Product Group Name,Manufacturer,Filter - Material,Filter - Colour,Filter - Construction,Filter - Style,Filter - Room,Filter - Suitable For,Manufacturer Colour Name,Available Widths (m),Rug Builder Product Type,Wear Rating,Rug Builder Product?,RRP,Discount (%)
NE6024,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6024.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6024.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,White,Cream",Basketweave,Heathered,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Portland,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NE6003,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NE6003.jpg,https://storage.googleapis.com/rug-builder/images/temp/NE6003.jpg,New England,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Ribbed,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Bleach Cleaning,Underfloor Heating,Stairs",Stamford,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
NY9007,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9007.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9007.jpg,New York,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Arthur,5,Material,"Class 23 (Heavy Domestic),Class 32 (Medium Commercial)",true,£50.00,1%
NY9003,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9003.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9003.jpg,New York,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Black",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Broadway,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9001,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9001.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9001.jpg,New York,Unnatural Flooring,Polypropelene,"Grey,Silver",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Central,5,Material,"Class 23 (Heavy Domestic),Class 32 (Medium Commercial)",true,£50.00,1%
NY9009,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9009.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9009.jpg,New York,Unnatural Flooring,Polypropelene,Black,Flatweave,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Columbus,5,Material,"Class 23 (Heavy Domestic),Class 32 (Medium Commercial)",true,£50.00,1%
NY9013,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9013.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9013.jpg,New York,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Black",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Coney,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9014,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9014.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9014.jpg,New York,Unnatural Flooring,Polypropelene,"Brown,Beige,Black",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Delaware,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9017,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9017.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9017.jpg,New York,Unnatural Flooring,Polypropelene,Black,Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Forge,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9012,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9012.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9012.jpg,New York,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Black",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Hudson,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9005,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9005.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9005.jpg,New York,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Black",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Lexington,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9002,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9002.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9002.jpg,New York,Unnatural Flooring,Polypropelene,"Black,Cream",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Madison,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9011,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9011.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9011.jpg,New York,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,Black",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Rucker,5,Material,"Class 23 (Heavy Domestic),Class 32 (Medium Commercial)",true,£50.00,1%
NY9016,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9016.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9016.jpg,New York,Unnatural Flooring,Polypropelene,"Black,Grey",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Seeley,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9015,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9015.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9015.jpg,New York,Unnatural Flooring,Polypropelene,"Black,Grey",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Silver Mine,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9006,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9006.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9006.jpg,New York,Unnatural Flooring,Polypropelene,"Black,Grey,Cream",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Victory,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
NY9004,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/NY9004.jpg,https://storage.googleapis.com/rug-builder/images/temp/NY9004.jpg,New York,Unnatural Flooring,Polypropelene,"Black,Grey,White",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Wall Street,4,Material,"Class 23 (Heavy Domestic),Class 33 (Heavy Commercial)",true,£50.00,1%
IS012,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS012.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS012.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige,White",Rustic,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Bryher,5,Material,Class 33 (Heavy Commercial),true,£50.00,1%
IS010,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS010.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS010.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Rustic,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Iona,5,Material,Class 33 (Heavy Commercial),true,£50.00,1%
IS002,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS002.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS002.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Rustic,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Jura,5,Material,Class 33 (Heavy Commercial),true,£50.00,1%
IS013,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS013.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS013.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Rustic,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Merrick,5,Material,Class 33 (Heavy Commercial),true,£50.00,1%
IS011,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS011.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS011.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Brown,Beige",Rustic,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Samson,5,Material,Class 33 (Heavy Commercial),true,£50.00,1%
IS001,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS001.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS001.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Cream,Grey",Rustic,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Skye,5,Material,Class 33 (Heavy Commercial),true,£50.00,1%
IS009,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS009.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS009.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Cream,Grey",Herringbone,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Looe,5,Material,Class 32 (Medium Commercial),true,£50.00,1%
IS003,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS003.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS003.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Cream,Grey",Herringbone,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Lundy,5,Material,Class 32 (Medium Commercial),true,£50.00,1%
IS006,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS006.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS006.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Cream,Grey",Herringbone,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Mullion,5,Material,Class 32 (Medium Commercial),true,£50.00,1%
IS008,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS008.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS008.jpg,The Isles,Unnatural Flooring,Polypropelene,"Cream,Grey",Herringbone,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Sheppey,5,Material,Class 32 (Medium Commercial),true,£50.00,1%
IS007,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS007.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS007.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Cream,Grey",Herringbone,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",St Agnes,5,Material,Class 32 (Medium Commercial),true,£50.00,1%
IS004,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS004.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS004.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Beige,Brown",Herringbone,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Tiree,5,Material,Class 32 (Medium Commercial),true,£50.00,1%
IS005,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/IS005.jpg,https://storage.googleapis.com/rug-builder/images/temp/IS005.jpg,The Isles,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Cream,Grey",Herringbone,Plain,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room","Castor Chairs,Bleach Cleaning,Underfloor Heating,Stairs",Tresco,5,Material,Class 32 (Medium Commercial),true,£50.00,1%
VM002,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM002.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM002.jpg,Vermont,Unnatural Flooring,Polypropelene,"Natural,Beige,White,Cream,Grey,Brown",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Addison,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM007,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM007.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM007.jpg,Vermont,Unnatural Flooring,Polypropelene,"Brown,Black,Grey",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Barton,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM004,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM004.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM004.jpg,Vermont,Unnatural Flooring,Polypropelene,"Brown,Black,Grey",Basketweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Brandon,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM011,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM011.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM011.jpg,Vermont,Unnatural Flooring,Polypropelene,"Grey,White,Black",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Duxbury,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM010,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM010.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM010.jpg,Vermont,Unnatural Flooring,Polypropelene,"Brown,White,Black",Pattern Loop,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Franklin,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM008,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM008.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM008.jpg,Vermont,Unnatural Flooring,Polypropelene,"Brown,White,Black",Pattern Loop,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Grand Isle,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM005,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM005.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM005.jpg,Vermont,Unnatural Flooring,Polypropelene,"Brown,White,Black",Flatweave,Flecked,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Hartland,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM001,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM001.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM001.jpg,Vermont,Unnatural Flooring,Polypropelene,"Brown,White,Black,Natural,Beige",Basketweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Huntington,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM012,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM012.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM012.jpg,Vermont,Unnatural Flooring,Polypropelene,"White,Black,Grey",Pattern Loop,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Jericho,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM003,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM003.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM003.jpg,Vermont,Unnatural Flooring,Polypropelene,"White,Black,Grey,Brown",Herringbone,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Montpelier,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM006,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM006.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM006.jpg,Vermont,Unnatural Flooring,Polypropelene,"White,Black,Grey,Brown",Herringbone,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Rockingham,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
VM009,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/VM009.jpg,https://storage.googleapis.com/rug-builder/images/temp/VM009.jpg,Vermont,Unnatural Flooring,Polypropelene,"Black,Brown",Flatweave,Accented,"Bedroom,Living Room,Stairs,Boot Room/Porch,Hallway Runners,Office,Dining Room,Outdoor","Castor Chairs,Underfloor Heating,Stairs",Warren,4,Material,Class 23 (Heavy Domestic),true,£50.00,1%
